Berakhot.2b:1	דילמא ביאת אורו הוא, ומאי ״וטהר״ — טהר גברא?!
Berakhot.2b:2	אמר רבה בר רב שילא: אם כן, לימא קרא: ״ויטהר״, מאי ״וטהר״ — טהר יומא, כדאמרי אינשי: ״איערב שמשא ואדכי יומא״.
Berakhot.2b:3	במערבא, הא דרבה בר רב שילא לא שמיע להו, ובעו לה מיבעיא: האי ״ובא השמש״ ביאת שמשו הוא, ומאי ״וטהר״ — טהר יומא, או דילמא ביאת אורו הוא, ומאי ״וטהר״ — טהר גברא.
Berakhot.2b:4	והדר פשטו לה מברייתא. מדקתני בברייתא, סימן לדבר — צאת הכוכבים. שמע מינה — ביאת שמשו הוא, ומאי ״וטהר״ — טהר יומא.
Berakhot.2b:5	אמר מר משעה שהכהנים נכנסין לאכול בתרומתן. ורמינהו: מאימתי קורין את שמע בערבין — משהעני נכנס לאכול פתו במלח, עד שעה שעומד ליפטר מתוך סעודתו.
Berakhot.2b:6	סיפא, ודאי פליגא אמתניתין. רישא, מי לימא פליגי אמתניתין?
Berakhot.2b:7	לא, עני וכהן חד שיעורא הוא.
Berakhot.2b:8	ורמינהו: מאימתי מתחילין לקרות קריאת שמע בערבית — משעה שבני אדם נכנסין לאכול פתן בערבי שבתות, דברי רבי מאיר. וחכמים אומרים: משעה שהכהנים זכאין לאכול בתרומתן. סימן לדבר: צאת הכוכבים. ואף על פי שאין ראיה לדבר, זכר לדבר, שנאמר: ״ואנחנו עשים במלאכה וחצים מחזיקים ברמחים מעלות השחר עד צאת הכוכבים״, ואומר: ״והיו לנו הלילה משמר והיום מלאכה״.
Berakhot.2b:9	מאי ״ואומר״?
Berakhot.2b:10	וכי תימא מכי ערבא שמשא, ליליא הוא, ואינהו דמחשכי ומקדמי, תא שמע ״והיו לנו הלילה משמר והיום מלאכה״.
Berakhot.2b:11	קא סלקא דעתך דעני ובני אדם חד שעורא הוא. ואי אמרת עני וכהן חד שעורא הוא, חכמים היינו רבי מאיר?
Berakhot.2b:12	אלא, שמע מינה עני שעורא לחוד וכהן שעורא לחוד. לא, עני וכהן חד שעורא הוא, ועני ובני אדם לאו חד שעורא הוא.
Berakhot.2b:13	ועני וכהן חד שעורא הוא? ורמינהו: מאימתי מתחילין לקרות שמע בערבין — משעה שקדש היום בערבי שבתות, דברי רבי אליעזר. רבי יהושע אומר: משעה שהכהנים מטוהרים לאכול בתרומתן. רבי מאיר אומר, משעה שהכהנים טובלין לאכול בתרומתן. אמר לו רבי יהודה: והלא כהנים מבעוד יום הם טובלים? רבי חנינא אומר משעה שעני נכנס לאכול פתו במלח. רבי אחאי ואמרי לה רבי אחא אומר: משעה שרוב בני אדם נכנסין להסב.
Berakhot.2b:14	ואי אמרת עני וכהן חד שעורא הוא, רבי חנינא היינו רבי יהושע!
Berakhot.2b:15	אלא לאו שמע מינה שעורא דעני לחוד ושעורא דכהן לחוד, שמע מינה.
Berakhot.2b:16	הי מינייהו מאוחר? מסתברא דעני מאוחר דאי אמרת דעני מוקדם רבי חנינא היינו רבי אליעזר. אלא לאו שמע מינה דעני מאוחר. שמע מינה.
Berakhot.2b:17	אמר מר. אמר ליה רבי יהודה: והלא כהנים מבעוד יום הם טובלים!
Berakhot.2b:18	שפיר קאמר ליה רבי יהודה לרבי מאיר?
Berakhot.2b:19	ורבי מאיר הכי קאמר ליה: מי סברת דאנא אבין השמשות דידך קא אמינא? אנא אבין השמשות דרבי יוסי קא אמינא, דאמר רבי יוסי בין השמשות כהרף עין, זה — נכנס, וזה — יוצא, ואי אפשר לעמוד עליו.
