Berakhot.3a:1	קשיא דרבי מאיר אדרבי מאיר! תרי תנאי אליבא דרבי מאיר.
Berakhot.3a:2	קשיא דרבי אליעזר אדרבי אליעזר!
Berakhot.3a:3	תרי תנאי אליבא דרבי אליעזר, ואיבעית אימא: רישא לאו רבי אליעזר היא.
Berakhot.3a:4	עד סוף האשמורה.
Berakhot.3a:5	מאי קסבר רבי אליעזר? אי קסבר שלש משמרות הוי הלילה, לימא ״עד ארבע שעות״. ואי קסבר ארבע משמרות הוי הלילה, לימא ״עד שלש שעות״!
Berakhot.3a:6	לעולם קסבר שלש משמרות הוי הלילה, והא קמשמע לן: דאיכא משמרות ברקיע ואיכא משמרות בארעא. דתניא, רבי אליעזר אומר: שלש משמרות הוי הלילה, ועל כל משמר ומשמר יושב הקדוש ברוך הוא ושואג כארי, שנאמר: ״ה׳ ממרום ישאג, וממעון קדשו יתן קולו שאג ישאג על נוהו״.
Berakhot.3a:7	וסימן לדבר: משמרה ראשונה חמור נוער, שניה כלבים צועקים, שלישית, תינוק יונק משדי אמו, ואשה מספרת עם בעלה.
Berakhot.3a:8	מאי קא חשיב רבי אליעזר, אי תחלת משמרות קא חשיב — תחלת משמרה ראשונה סימנא למה לי? אורתא הוא! אי סוף משמרות קא חשיב, סוף משמרה אחרונה למה לי סימנא? יממא הוא!
Berakhot.3a:9	אלא: חשיב סוף משמרה ראשונה, ותחלת משמרה אחרונה, ואמצעית דאמצעיתא. ואיבעית אימא: כולהו סוף משמרות קא חשיב, וכי תימא אחרונה לא צריך.
Berakhot.3a:10	למאי נפקא מינה — למיקרי קריאת שמע למאן דגני בבית אפל ולא ידע זמן קריאת שמע אימת. כיון דאשה מספרת עם בעלה ותינוק יונק משדי אמו, ליקום וליקרי.
Berakhot.3a:11	אמר רב יצחק בר שמואל משמיה דרב: שלש משמרות הוי הלילה, ועל כל משמר ומשמר יושב הקדוש ברוך הוא ושואג כארי, ואומר: ״אוי שהחרבתי את ביתי ושרפתי את היכלי והגליתי את בני לבין אומות העולם״.
Berakhot.3a:12	תניא, אמר רבי יוסי: פעם אחת הייתי מהלך בדרך ונכנסתי לחורבה אחת מחורבות ירושלים להתפלל. בא אליהו זכור לטוב ושמר לי על הפתח, (והמתין לי) עד שסיימתי תפלתי. לאחר שסיימתי תפלתי אמר לי: ״שלום עליך, רבי״. ואמרתי לו: ״שלום עליך, רבי ומורי״. ואמר לי: בני, מפני מה נכנסת לחורבה זו? אמרתי לו: להתפלל. ואמר לי: היה לך להתפלל בדרך. ואמרתי לו: מתירא הייתי שמא יפסיקו בי עוברי דרכים, ואמר לי היה לך להתפלל תפלה קצרה.
Berakhot.3a:13	באותה שעה למדתי ממנו שלשה דברים: למדתי שאין נכנסין לחורבה, ולמדתי שמתפללין בדרך, ולמדתי שהמתפלל בדרך מתפלל תפלה קצרה.
Berakhot.3a:14	ואמר לי: בני, מה קול שמעת בחורבה זו? ואמרתי לו: שמעתי בת קול שמנהמת כיונה ואומרת: ״אוי שהחרבתי את ביתי ושרפתי את היכלי והגליתי את בני לבין אומות העולם״. ואמר לי: חייך וחיי ראשך, לא שעה זו בלבד אומרת כך, אלא בכל יום ויום, שלש פעמים אומרת כך. ולא זו בלבד אלא, בשעה שישראל נכנסין לבתי כנסיות ולבתי מדרשות ועונין ״יהא שמיה הגדול מבורך״, הקדוש ברוך הוא מנענע ראשו, ואומר: אשרי המלך שמקלסין אותו בביתו כך, מה לו לאב שהגלה את בניו, ואוי להם לבנים שגלו מעל שולחן אביהם.
Berakhot.3a:15	תנו רבנן, מפני שלשה דברים אין נכנסין לחורבה: מפני חשד, מפני המפולת, ומפני המזיקין. ״מפני חשד״, ותיפוק ליה ״משום מפולת״?
