Gittin.3a:1	משום עיגונא אקילו בה רבנן.
Gittin.3a:2	האי קולא הוא?! חומרא הוא! דאי מצרכת ליה תרי – לא אתי בעל מערער ופסיל ליה; חד – אתי בעל ומערער ופסיל ליה!
Gittin.3a:3	כיון דאמר מר: בפני כמה נותנו לה? רבי יוחנן ורבי חנינא; חד אמר: בפני שנים, וחד אמר: בפני שלשה; מעיקרא מידק דייק, ולא אתי לאורועי נפשיה.
Gittin.3a:4	ולרבא דאמר לפי שאין עדים מצויין לקיימו – ליבעי תרי, מידי דהוה אקיום שטרות דעלמא! עד אחד נאמן באיסורין.
Gittin.3a:5	אימר דאמרינן עד אחד נאמן באיסורין, כגון חתיכה ספק של חלב ספק של שומן, דלא איתחזק איסורא; אבל הכא איתחזק איסורא דאשת איש – הוי דבר שבערוה, ואין דבר שבערוה פחות משנים!
Gittin.3a:6	בדין הוא דבקיום שטרות נמי לא ליבעי, כדריש לקיש – דאמר ריש לקיש: עדים החתומים על השטר, נעשו כמי שנחקרה עדותן בבית דין – ורבנן הוא דאצרוך; והכא משום עיגונא אקילו בה רבנן.
Gittin.3a:7	האי קולא הוא?! חומרא הוא! דאי מצרכת ליה תרי – לא אתי בעל מערער ופסיל ליה; חד – אתי בעל ומערער ופסיל ליה! כיון דאמר מר: בפני כמה נותנו לה? רבי יוחנן ורבי חנינא; חד אמר: בפני שנים, וחד אמר: בפני שלשה; מעיקרא מידק דייק ולא אתי לאורועי נפשיה.
Gittin.3a:8	ורבא, מאי טעמא לא אמר כרבה? אמר לך: מי קתני ״בפני נכתב לשמה, בפני נחתם לשמה״?!
Gittin.3a:9	ורבה? בדין הוא דליתני הכי, אלא דאי מפשת ליה דיבורא – אתי למגזייה.
Gittin.3a:10	השתא נמי אתי למגזייה! חדא מתלת גאיז, חדא מתרתי לא גאיז.
Gittin.3a:11	ורבה, מאי טעמא לא אמר כרבא? אמר לך: אם כן ניתני ״בפני נחתם״ ותו לא; ״בפני נכתב״ למה לי? שמע מינה בעינן לשמה.
Gittin.3a:12	ורבא? בדין הוא דליתני הכי, אלא דאם כן, אתי לאיחלופי בקיום שטרות דעלמא – בעד אחד.
Gittin.3a:13	ורבה: מי דמי?! התם ״ידעינן״, הכא ״בפני״;
Gittin.3a:14	התם אשה לא מהימנא, הכא אשה מהימנא; התם בעל דבר לא מהימן, הכא בעל דבר מהימן.
Gittin.3a:15	ורבא אמר לך: אטו הכא כי אמרי ״ידעינן״ מי לא מהימני?! וכיון דכי אמרי ״ידעינן״ מהימני, אתי לאיחלופי בקיום שטרות דעלמא – בעד אחד.
Gittin.3a:16	ולרבה דאמר לפי שאין בקיאין לשמה, מאן האי תנא דבעי כתיבה לשמה, ובעי
